Estacao	Data	Hora	TempBulboSeco	TempBulboUmido	UmidadeRelativa	PressaoAtmEstacao	DirecaoVento	VelocidadeVento	Nebulosidade
83513	31/03/1993	0	26.6	25.7	93	sv	0	0	6
83513	31/03/1993	1200	26	25.5	96	sv	0	0	10
83513	31/03/1993	1800	27.4	25.5	85	sv	36	1	8
83513	01/04/1993	0	25.6	25.1	96	sv	0	0	10
83513	01/04/1993	1200	24	23.5	96	sv	36	1	10
83513	01/04/1993	1800	25.6	24.5	91	sv	0	0	10
83513	02/04/1993	0	24.6	24.3	97	sv	0	0	10
83513	02/04/1993	1200	27	24.7	82	sv	36	1	2
83513	02/04/1993	1800	31.5	27.3	71	sv	36	1	2
83513	03/04/1993	0	27.2	26.1	91	sv	0	0	10
83513	03/04/1993	1200	27	26.3	94	sv	36	1	0
83513	03/04/1993	1800	32.9	28.1	68	sv	36	2	6
83513	04/04/1993	0	26.6	26.1	96	sv	0	0	0
83513	04/04/1993	1200	26.6	25.5	91	sv	18	1	10
83513	04/04/1993	1800	26	24.9	91	sv	36	1	10
83513	05/04/1993	0	26.4	26.1	98	sv	0	0	0
83513	05/04/1993	1200	26.2	25.5	94	sv	18	1	10
83513	05/04/1993	1800	29.5	26.5	78	sv	32	1	8
83513	06/04/1993	0	26.6	26.1	96	sv	0	0	0
83513	06/04/1993	1200	24.2	23.3	92	sv	18	1	10
83513	06/04/1993	1800	26.6	24.5	83	sv	18	2	10
83513	07/04/1993	0	23.2	21.9	89	sv	18	2	10
83513	07/04/1993	1200	22.2	21.9	97	sv	18	2	10
83513	07/04/1993	1800	27	24.5	81	sv	32	1	8
83513	08/04/1993	0	24.2	23.5	94	sv	0	0	0
83513	08/04/1993	1200	25.2	24.3	92	sv	0	0	10
83513	08/04/1993	1800	25.4	24.1	89	sv	18	4	10
83513	09/04/1993	0	25.2	24.3	92	sv	0	0	10
83513	09/04/1993	1200	22.2	21.1	90	sv	14	1	10
83513	09/04/1993	1800	24.4	21.1	73	sv	18	1	10
83513	10/04/1993	0	21.4	20.3	90	sv	0	0	0
83513	10/04/1993	1200	20.4	18.5	82	sv	14	1	10
83513	10/04/1993	1800	27.2	23.1	69	sv	0	0	10
83513	11/04/1993	0	23.2	22.1	90	sv	0	0	0
83513	11/04/1993	1200	25	23.1	84	sv	9	1	2
83513	11/04/1993	1800	31.5	26.1	64	sv	36	1	2
83513	12/04/1993	0	26.2	25.5	94	sv	0	0	0
83513	12/04/1993	1200	26.2	24.5	86	sv	5	2	5
83513	12/04/1993	1800	31.1	26.5	68	sv	36	1	4
83513	13/04/1993	0	26.8	25.9	93	sv	0	0	0
83513	13/04/1993	1200	26.2	25.1	91	sv	9	1	2
83513	13/04/1993	1800	32.1	26.7	64	sv	36	2	8
83513	14/04/1993	0	27.2	26.1	91	sv	0	0	0
83513	14/04/1993	1200	27.6	25.1	81	sv	36	2	2
83513	14/04/1993	1800	29.9	26.5	76	sv	36	1	6
83513	15/04/1993	0	27.4	26.5	93	sv	0	0	0
83513	15/04/1993	1200	26.8	24.5	82	sv	36	1	0
83513	15/04/1993	1800	35	27.1	52	sv	36	1	0
83513	16/04/1993	0	28.2	27.1	91	sv	0	0	0
